instance,count
./01A-1.cnf,64424512674
./01B-1.cnf,
./01B-2.cnf,
./01B-3.cnf,
./01B-4.cnf,
./01B-5.cnf,
./02A-1.cnf,90194314010
./02A-2.cnf,90194313224
./02A-3.cnf,34359738368
./02B-1.cnf,
./02B-2.cnf,
./02B-3.cnf,
./02B-4.cnf,
./02B-5.cnf,
./03A-1.cnf,8589934724
./03A-2.cnf,8589934592
./03B-1.cnf,
./03B-2.cnf,
./03B-3.cnf,
./03B-4.cnf,
./04A-1.cnf,81604378740
./04A-2.cnf,81604378636
./04A-3.cnf,17179869184
./04B-1.cnf,
./04B-2.cnf,
./04B-3.cnf,
./04B-4.cnf,
./05A-1.cnf,
./05A-2.cnf,17179869184
./05B-1.cnf,
./05B-2.cnf,
./05B-3.cnf,
./06A-1.cnf,186831080638
./06A-2.cnf,66571996286
./06A-3.cnf,60129542342
./06A-4.cnf,60129542144
./06B-1.cnf,
./06B-2.cnf,
./06B-3.cnf,
./06B-4.cnf,
./07A-1.cnf,
./07A-2.cnf,382252120612
./07A-3.cnf,369367197092
./07A-4.cnf,369367187588
./07A-5.cnf,85899345920
./07B-1.cnf,
./07B-2.cnf,
./07B-3.cnf,
./07B-4.cnf,
./07B-5.cnf,
./07B-6.cnf,
./08A-1.cnf,
./08A-2.cnf,863288431760
./08A-3.cnf,42949678224
./08A-4.cnf,42949672960
./08B-1.cnf,
./08B-2.cnf,
./08B-3.cnf,
./08B-4.cnf,
./09A-1.cnf,
./09A-2.cnf,536870912306
./09A-3.cnf,51539607552
./09B-1.cnf,
./09B-2.cnf,
./09B-3.cnf,
./09B-4.cnf,
./09B-5.cnf,
./09B-6.cnf,
./10A-1.cnf,
./10A-2.cnf,
./10A-3.cnf,
./10A-4.cnf,295147905179352825856
./10B-1.cnf,
./10B-10.cnf,
./10B-11.cnf,
./10B-2.cnf,
./10B-3.cnf,
./10B-4.cnf,
./10B-5.cnf,
./10B-6.cnf,
./10B-7.cnf,
./10B-8.cnf,
./10B-9.cnf,
./11A-1.cnf,
./11A-2.cnf,
./11A-3.cnf,
./11A-4.cnf,
./11B-1.cnf,
./11B-2.cnf,
./11B-3.cnf,
./11B-4.cnf,
./11B-5.cnf,
./12A-1.cnf,
./12A-2.cnf,
./12A-3.cnf,
./12A-4.cnf,
./12B-1.cnf,
./12B-2.cnf,
./12B-3.cnf,
./12B-4.cnf,
./12B-5.cnf,
./12B-6.cnf,
./13A-1.cnf,
./13A-2.cnf,
./13A-3.cnf,7507602833408
./13A-4.cnf,223338299392
